MULT_03_NP_lo , MULT , Success , yf4418 , stdout are the same with retcode=160
MULT_04_PP_hi , MULT , Success , yf4418 , stdout are the same with retcode=22
MULT-01-NN , MULT , Fail , yf4418 , stdout different or got incorrect retcode 5 Expected: QQQ
MULTU_01_F1_hi , MULTU , Success , yf4418 , stdout are the same with retcode=59
MULTU_01_FF_hi , MULTU , Success , yf4418 , stdout are the same with retcode=202
MULTU_01_FF , MULTU , Success , yf4418 , stdout are the same with retcode=5
OR_02_msb_10 , OR , Success , yf4418 , stdout are the same with retcode=101
OR_01_msb , OR , Success , yf4418 , stdout are the same with retcode=101
ORI_01_lsb_00 , ORI , Success , yf4418 , stdout are the same with retcode=0
ORI_01_lsb_21 , ORI , Success , yf4418 , stdout are the same with retcode=33
SB_01_i2 , SB , Success , yf4418 , stdout are the same with retcode=0
SW-lb01 , SW , Success , yf4418 , stdout are the same with retcode=245
BLTZAL_02 , BLTZAL , Success , yf4418 , stdout are the same with retcode=0
XORI , XORI , Fail , yf4418 , stdout different or got incorrect retcode 15 Expected: F
SH , SH , Fail , yf4418 , stdout different or got incorrect retcode 245 Expected: 255
MFHI_01_sra16 , MFHI , Success , yf4418 , stdout are the same with retcode=59
MFLO-01-sra1 , MFLO , Success , yf4418 , stdout are the same with retcode=48
MULT_02_NP , MULT , Success , yf4418 , stdout are the same with retcode=255
